question,issue,group,coders
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,abany,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,abdefect,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,abhlth,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,abnomore,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,abpoor,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,abrape,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,absingle,abortion,2
In general: do you favor the busing of African-American and white school children from one school district to another?,busing,school segregation,1
Do you favor the death penalty for persons convicted of murder?,cappun,cappun,2
There are always some people whose ideas are considered bad or dangerous by other people. For instance: somebody who is against all churches and religion -- should such a person be allowed to teach in a college or university?,colath,atheist,2
Consider a man who admits he is a Communist. Suppose he is teaching in a college. Should he be fired?,colcom,communist,1
Consider a man who admits that he is a homosexual. Should such a person be allowed to teach in a college or university?,colhomo,fr.sp homosex,2
Consider a person who advocates doing away with elections and letting the military run the country. Should such a person be allowed to teach in a college or university?,colmil,militarist,1
Consider a person who believes that Blacks are genetically inferior. Should such a person be allowed to teach in a college or university?,colrac,racist,2
It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,fefam,women,2
It is more important for a wife to help her husband's career than to have one herself.,fehelp,women,2
Because of past discrimination employers should make special efforts to hire and promote qualified women.,fehire,women priority,1
Women should take care of running their homes and leave running the country up to men.,fehome,women,2
Some people say that because of past discrimination women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for preferential hiring and promotion of women?,fejobaff,women priority,1
Do you approve of a married woman earning money in business or industry if she has a husband capable of supporting her?,fework,women,2
Do you think the use of marijuana should be made legal?,grass,grass,1
Would you favor a law which would require a person to obtain a police permit before he or she could buy a gun?,gunlaw,gunlaw,1
Some people think that African-Americans have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to African-Americans. Do you think that the government should help improve the living standards of African-Americans?,helpblk,race priority,1
